Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
FED-1,ABC,5LBS,ER lobby,411467,H07166654,,,,
FED-2,ABC,5LBS,Hall near triage/to exam rooms,411468,H07166587,,,,
FED-3,ABC,10LBS,NS by exam rm 11,411469,F36266973,,,,
FED-4,ABC,5LBS,NS by exam rm 7,411470,H07166567,,,,
FED-5,ABC,10LBS,NS by exam rm 5,411471,B04733981,,,,
FED-6,ABC,10LBS,NS by exam rooms,411472,F36266899,,,,
FED-7,ABC,10LBS,ER ambulance entry,411473,B04731615,,,,
FED-8,ABC,5LBS,Staff break room,411474,H07166568,,,,
FED-9,ABC,10LBS,By MRI (water 2.5gal),411475,F36266906,,,,
FED-10,ABC,10LBS,Diagnostic MRI,411476,B10292851,,,,
FED-11,ABC,5LBS,Employee entrance by voice/data rm,411477,H07166655,,,,
FED-12,ABC,5LBS,Electrical rm by employee entrance,411478,H07166645,,,,
FED-13,ABC,5LBS,By DXA/ultrasound,411479,A95587904,,,,
FED-14,ABC,5LBS,Voice/data rm by employee entrance,411480,H07166648,,,,
FED-15,ABC,5LBS,Electrical room by employee entrance,411481,H07166535,,,,
FED-16,ABC,5LBS,Diagnostic lobby,411482,H07166553,,,,
FED-17,ABC,5LBS,Med gas room 1 outside,411483,H07166594,,,,
FED-18,ABC,10LBS,Med gas room 2 outside,411484,F36266904,,,,
FED-19,ABC,10LBS,Decontamination room,411485,F36266907,,,,
FED-20,ABC,10LBS,Boiler room,411486,H07166621,,,,
FED-21,ABC,5LBS,Electrical Closet by conference room,,H07166627,,,,
,F500,100L/26GAL,Helipad,71703120,OM-QAMU-F500-100L,,,,
