Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
WMP1-01,ABC,10LBS,Suite 112 WDC south hall by to mammography,761834,I17714807,,,,
WMP1-02,ABC,10LBS,Suite 112 WDC west hall by medical records,761835,I17707053,,,,
WMP1-03,ABC,10LBS,Suite 112 WDC north hall next to break room,761836,I1769203,,,,
WMP1-08,ABC,10LBS,Suite 112 WDC outside new CT scan,411846,AU462751,,,,
WMP1-04,ABC,10LBS,Suite 104 Dr Barnes office front hall ,761374,G16810008,,,,
WMP1-05,ABC,10LBS,Suite 104 Dr Barnes office front hall ,761382,G16807127,,,,
WMP1-09,ABC,10LBS,Lobby across from elevators,281919,F72245478,,,,
,ABC ,10LBS,2nd landing of Stairwell by Elev# 16 ,761498,G15033649,,,,
,ABC,5LBS,Chapel,761512,F88840430,,,,
,ABC,5LBS,Across from suite 200,761379,G16812983,,,,
,ABC,10LBS,Suite 202 btw rm 4 &5,761522,F70333257,,,,
,ABC,10LBS,Suite 202 by lab,761521,F88840454,,,,
,ABC,5LBS,Suite 204 by ultrasound,761837,I15995067,,,,
,ABC,10LBS,Suite 206,761418,F88842270,,,,
,ABC,5LBS,Suite 214 records,761519,F72245537,,,,
,ABC,10LBS,Suite 214 break room,761520,XR506075,,,,
,ABC,10LBS,Across from Suite 214,761376,G-16812984,,,,
,ABC,10LBS,Suite 210 at lobby door,761625,F70313778,,,,
,ABC,10LBS,Suite 210 at lab,411595,BP698374,,,,
,ABC,10LBS,Suite 210 Break room,411514,F72245555,,,,
,ABC,10LBS,Suite 302 Rear Hall ,761501,G15005489,,,,
,ABC,10LBS,Suite 302 By Restroom ,761417,F88829005,,,,
,ABC,10LBS,3rd by suite 310,761375,G16810516,,,,
,ABC,10LBS,3rd by suite 302,761383,G16809093,,,,
,ABC,10LBS,Suite 302 back hall,761415,F88829993,,,,
,ABC,5LBS,Suite 310 breakroom,761535,G31902918,,,,
,ABC,10LBS,Suite 310 by rm 3,761517,F72245518,,,,
,ABC,10LBS,Suite 310 by lab,761518,F72245535,,,,
WMP3-01,ABC,10LBS,Suite 300 Case management/Addmissions ,761838,I27706964,,,,
,ABC,10LBS,4th by stair 17,761378,G16810515,,,,
,ABC,10LBS,4th by suite 405,761377,G16812987,,,,
,ABC,10LBS,Suite 410 ,761414,F88830930,,,,
,ABC,10LBS,Suite 402 exam rm 11,761537,E71295841,,,,
,ABC,10LBS,Suite 402 by Dr Taylor,761536,E71295842,,,,
,ABC,10LBS,Suite 402 by acct management,761538,E71295822,,,,
,ABC,5LBS,Suite 402 by rm 3,281820,AF72245485,,,,
WMP5-01,ABC,10LBS,Suite 502 PAT admission desk,761657,F44671089,,,,
WMP5-02,ABC,10LBS,Suite 502 PAT backhall,761422,F88833514,,,,
,ABC,10LBS,5th by suite 508,761380,G16807129,,,,
,ABC,10LBS,5th by suite 508B,761373,G16807105,,,,
,ABC,10LBS,Suite 508 reception area,761031,F96664706,,,,
,ABC,10LBS,Suite 508 records,761648,F44671100,,,,
,ABC,10LBS,Suite 508 by rm 8,761541,E71295826,,,,
,ABC,10LBS,Suite 508 corner by rm 12,761539,E71295840,,,,
,ABC,10LBS,Suite 508 lab,761126,F59543266,,,,
,ABC,10LBS,Suite 508 by exit sign closet,761540,E71295848,,,,
,ABC,10LBS,Suite 508 recovery,761543,E71295839,,,,
,ABC,10LBS,Suite 508 by rear exit ,761542,E71295836,,,,
,ABC,10LBS,Suite 508 back of OR,761544,E71295845,,,,
WMP6-04,ABC,10LBS,Suite 604 kitchen,761113,F70314306,,,,
,ABC,10LBS,Suite 604 hallway by kitchen,761365,G16810001,,,,
,ABC,10LBS,Suite 604 Exam Room 3,761213,F96657956,,,,
,ABC,10LBS,Suite 604 Hallway to lounge,761212,F93817480,,,,
,ABC,10LBS,Suite 600 Front Receptionist area,761440,F44671106,,,,
,ABC,10LBS,Suite 600 Middle of back Hallway ,761445,F44671086,,,,
,ABC,10LBS,Suite 600 Breakroom ,761444,F44671133,,,,
,ABC,10LBS,Suite 600 Lab area,761443,F72245521,,,,
,ABC,10LBS,Suite 600 Rear Door ,761441,F44671089,,,,
,ABC,10LBS,Suite 600 Kitchen Area ,761659,F44671091,,,,
,ABC,10LBS,Suite 600 by power panel ,761442,F44671090,,,,
,ABC,10LBS,Suite 600 across from restroom,761824,I17699532,,,,
,ABC,10LBS,Suite 600 outside exam rm 3,761825,I17706466,,,,
,ABC,5LBS,6th by stair 17,761660,G21329070,,,,
,ABC,5LBS,6th by elevator lobby,761121,F59543263,,,,
,ABC,5LBS,6th by suite 604,761301,G13245590,,,,
,ABC,5LBS,Suite 604 by lobby entry,761212,F93817420,,,,
,ABC,5LBS,Suite 604 by lab,761213,F96657956,,,,
,ABC,10LBS,7th mechanical room,761623,F44671108,,,,
,ABC,5LBS,7th elevator lobby,761596,F44671132,,,,
,ABC,5LBS,7th by stair 18,761385,G13245592,,,,
,ABC,5LBS,7th by suite 700,761362,G13245274,,,,
,ABC,10LBS,Suite 700 reception area,761207,F72245559,,,,
,ABC,10LBS,Suite 700 urine test area,761208,F72245572,,,,
,ABC,10LBS,Suite 700 by cabinets/IUD display,761209,F72245501,,,,
,ABC,10LBS,Suite 700 corner by vending,761210,F72245503,,,,
,ABC,5LBS,Suite 700 breakroom,761211,F72245542,,,,
,ABC,10LBS,Suite 710 ,761416,F88829007,,,,
,ABC,5LBS,Roof Penthouse,761320,G13245272,,,,
