Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
,ABC,10LBS,Outside alley by mechanical room,761654,F44671109,,,,
,ABC,10LBS,Chiller #2 ,761345,G16810529,,,,
ACCG-01,ABC,10LBS,Mail Room ,761357,G15034669,,,,
ACCG-02,ABC,10LBS,Payroll front hall,761358,G16812995,,,,
ACCG-03,ABC,10LBS,Accounting back hall,761829,I17724805,,,,
ACCG-04,ABC,10LBS,IS back hall next to conference room,411988,F44671143,,,,
ACCG-05,ABC,10LBS,IS  front hall next to reception,411978,F44671169,,,,
ACCG-06,Halcon,5LBS,IS server room ,411882,H29569619,,,,
ACCG-07,ABC,10LBS,Plant Ops by Break Room ,761831,I17695702,,,,
ACCG-08,ABC,10LBS,Plant Ops Center by Racks ,761072,F70313468,,,,
ACCG-09,ABC,10LBS,Clinical office,761653,F44671105,,,,
UPS room,ABC,10LBS,UPS room dietary alley outside IS,281712,I17695645,,,,
ACCG-10,ABC,10LBS,HRC front hall,761830,F44671148,,,,
ACCG-11,ABC,10LBS,HRC rear hall,281709,F44671149,,,,
,ABC,5LBS,Ground by air handler,411985,G31902936,,,,
,ABC,10LBS,Gr fl hall by elevator lobby,761073,F70313784,,,,
ACC2-01,ABC,10LBS,Suite 215 break room,761655,F44671096,,,,
ACC2-03,ABC,10LBS,HR next to registration,761100,F70303697,,,,
ACC2-04,ABC,10LBS,HR breakroom,761076,F70313482,,,,
,ABC ,10LBS ,Orange Elevator Crosswalk #21 Ground Mech RM,281908,F72245536,,,,
,ABC,10LBS,2nd by stair 7,761356,G16810011,,,,
,ABC,10LBS,2nd by stair 14,761393,G16809110,,,,
,ABC,10LBS,Suite 209 ,761411,F88832743,,,,
,ABC,10LBS,Suite 210 records,761506,F88770822,,,,
,ABC,5LBS,Suite 210 breakroom,761507,F93817423,,,,
,ABC,10LBS,Suite 211 ,761410,F88829992,,,,
,ABC,10LBS,Suite 207 hall inside,761508,F88793739,,,,
,ABC,10LBS,Suite 208 by break room,761656,F44671104,,,,
,ABC,10LBS,2nd fl mechanical room,761082,F70313480,,,,
ACC3-01,ABC,5LBS,Suite 304 Heart Holding ,761145,F59538745,,,,
,ABC,10LBS,3rd by stair 14,761331,G15010897,,,,
,ABC,10LBS,3rd by stair 7,761392,G15034670,,,,
,ABC,10LBS,Suite 305 By BreakRoom by Back Hall ,761425,F88842267,,,,
,ABC,10LBS,Suite 305 Staff Exit,761409,F88829004,,,,
,ABC,10LBS,Suite 305 Middle Desk Mid Hall ,761424,F88832744,,,,
,ABC,10LBS,Suite 307  Reception area ,761827,I17699534,,,,
,ABC,10LBS,Suite 307 Hallway,761828,I17707050,,,,
,ABC,10LBS,Suite 307 Gallaway ,761407,G16812986,,,,
,ABC,10LBS,Suite 310 By Break Room Door ,211022,F88789519,,,,
,ABC,10LBS,Suite 402,761406,G16810002,,,,
ACC4-01,ABC,10LBS,Suite 405 Volunteer office kitchen,761387,G16810019,,,,
ACC4-02,ABC,10LBS,Suite 405 Volunteer office,761389,G16810014,,,,
,ABC,10LBS,Suite 412 ,761428,G16807126,,,,
,ABC,10LBS,Suite 414,761426,F88829006,,,,
,ABC,10LBS,4th by stair 7,761390,G15010898,,,,
,ABC,10LBS,4th by stair 14,761388,G15022781,,,,
,ABC,10LBS,Suite 408 by rm 2,761192,F88773153,,,,
,ABC,10LBS,Suite 403 by rm 1,761826,I17714804,,,,
,ABC,5LBS,Suite 401 lobby entrance,761533,G31902872,,,,
,BC,5LBS,Suite 401 draw area,411544,AB391203,,,,
,ABC,5LBS,Suite 401 breakroom,761193,F44671103,,,,
,ABC,10LBS,Suite 409 ,761436,F44671144,,,,
,ABC,10LBS,Suite 416  Material Management ,411986,F44671128,,,,
ACC5-01,ABC,10LBS,Suite 509 Pastoral Care,761833,I17707051,,,,
ACC5-02,ABC,10LBS,Emergency services suite 508,411979,F44671119,,,,
,ABC,10LBS,5th by stair 14,761353,G16807141,,,,
,ABC,10LBS,5th by stair 7,761391,G10533647,,,,
,ABC,5LBS,Suite 503A rear office desk,761185,F88789515,,,,
,ABC,10LBS,Suite 510 by exam rm 18,761621,F88773161,,,,
,ABC,10LBS,Suite 510 by exam rm 10,761832,I17714137,,,,
,ABC,10LBS,Suite 510 by exam rm 5 ,761624,F70314313,,,,
,ABC,10LBS,Suite 511 ,761427,G16809096,,,,
,ABC,10LBS,Suite 513,761431,G16809098,,,,
,ABC,10LBS,6th inside stair 14,761104,F70303699,,,,
,ABC,10LBS,6th vending area,761355,G15035227,,,,
,ABC,10LBS,6th by EVS closet,761384,G15005488,,,,
,ABC,10LBS,6th by suite 628,411984,F44671110,,,,
,ABC,10LBS,Suite 626 by breakroom,761181,F88773157,,,,
,ABC,10LBS,Suite 628 by lobby door,761182,F88770817,,,,
,ABC,10LBS,Suite 628 by checkout ,761183,F44671122,,,,
,ABC,10LBS,Suite 626 by records,761184,F88770819,,,,
,ABC,10LBS,Roof upper platform elevator penthouse,761335,G16810528,,,,
,ABC,10LBS,Roof lower platform elevator penthouse,761352,G16810521,,,,
,ABC,10LBS,Roof rising door,761394,G16809101,,,,
