Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected ,Initials
,ABC,10LBS,LL hallway FDC cabinet,761370,G16809994,,,,
,CO2,10LBS,LL electrical closet,761397,F87311664,,,,
,CO2,5LBS,LL Mechanical room,761840,G11040612,,,,
,ABC,10LBS,Suite 75 bhind check in,761007,F46779130,,,,
,ABC,10LBS,Suite Back Exit Door,761001,F70303137,,,,
,ABC,10LBS,Suite B60 by Exam Room ,761481,G16807125,,,,
,ABC,10LBS,Suite B65 pharmacy area,761256,F59151364,,,,
,ABC,10LBS,Suite B50 by Xray rm,761257,F88869213,,,,
,ABC,10LBS,Suite B50 by restroom,761258,F88783202,,,,
,ABC,10LBS,Suite B50 by staff restroom,761265,F44671142,,,,
,ABC,10LBS,Suite B50 by rear nurse station,761259,F88793742,,,,
,ABC,10LBS,Suite B50 scheduling desk,761260,F88789521,,,,
,ABC,10LBS,Suite B50 by printers,761261,F88783197,,,,
,ABC,10LBS,Suite B50 kitchen ,761262,F88770824,,,,
,ABC,10LBS,Suite B50 procedure,761263,F88789522,,,,
BMP1-01,ABC,5LBS,Suite 100 BDC north hall across from billing,761091,F59539400,,,,
BMP1-02,ABC,5LBS,Suite 100 BDC east hall next to MRI,761096,F59540927,,,,
BMP1-03,water,10LBS,Suite 100 BDC east hall MRI entry door ,761614,F58464863,,,,
BMP1-04,ABC,5LBS,Suite 100 BDC south hall across from RAD 2 ,761098,F59543259,,,,
BMP1-05,ABC,5LBS,Suite 100 BDC west hall next to storage room,761127,F59539401,,,,
BMP1-06,ABC,5LBS,Suite 100 BDC PAT hall by mngrs office,761097,F59541630,,,,
BMP1-07,ABC,5LBS,Suite 101  recovery room,281745,E11492927,,,,
BMP1-08,ABC,5LBS,Suite 101  west hall across nurse station,761103,F70314318,,,,
BMP1-09,ABC,10LBS,Suite 101 hall door to Lobby,761102,F70314321,,,,
,BC,5LBS,Suite 101 Proc rm 1,761616,F76699330,,,,
,BC,5LBS,Suite 101 Proc rm 2,761615,F76699331,,,,
,ABC,10LBS,1st hallway by FDC cabinet,761368,G16810004,,,,
,CO2,20LBS,1st electrical closet ,761396,F87311667,,,,
,CO2,10LBS,Loading dock electrical closet by fire panel,761399,F99991622,,,,
,CO2,10LBS,Loading dock mechanical closet chiller water,761398,F99991627,,,,
,ABC,10LBS,2nd hallway by FDC cabinet,761364,G16809995,,,,
,ABC,10LBS,2nd vending area,761381,G16810006,,,,
,CO2,20LBS,2nd electrical closet,761395,F9998836,,,,
,,,2nd fl Norwood Clinic Lobby Elv equip rm,411466,H01378022,,,,
,ABC,10LBS,Suite 200 Reception Area,761187,F88770820,,,,
,ABC,10LBS,Suite 200 IT behind the Recption Area,761188,F88789513,,,,
,ABC,10LBS,Suite 200 Breakroom by door,761186,F88793737,,,,
,ABC,10LBS,Suite 260 BBH Surgical Specialist ,761369,G16809097,,,,
,ABC,10LBS,Suite 250 lobby,761254,BN829824,,,,
,ABC,10LBS,Suite 250 by restroom,761255,BN823413,,,,
,ABC,10LBS,Suite 275 treatment area,761268,F88861925,,,,
,ABC,10LBS,Suite 275 near rm 3,761502,G15010903,,,,
,ABC,10LBS,Suite 275 rear exit,761267,JL525469,,,,
,ABC,10LBS,Suite 310 Dr.Askew  Behind Recption Area,761479,G16809094,,,,
,ABC,10LBS,Suite 320 BW  SURGICAL WEIGHT LOSS,761480,G16809092,,,,
,ABC,10LBS,Suite 372 Breakroom,761367,G16809999,,,,
,ABC,5LBS,Suite 372 restroom,281785,D58832969,,,,
,ABC,5LBS,Suite 372 by office exit door,281793,D58833746,,,,
,ABC,5LBS,Suite 372 by lobby door,411876,C91407780,,,,
,ABC,10LBS,Suite 360 reception area,761249,F88773158,,,,
,ABC,10LBS,Suite 360 breakroom,761250,F8870052,,,,
,ABC,10LBS,Suite 360 by rm 6,761253,F63698227,,,,
,ABC,10LBS,3rd hallway by FDC cabinet,761099,F70303135,,,,
,BC,5LBS,3rd electrical closet,761401,F87311663,,,,
BMP4-03,ABC,10LBS,Suite 403 Brookwood patient admitting ,281747,E1189386,,,,
BMP4-05,ABC,10LBS,Suite 403 Brookwood business office lobby,761366,G16809997,,,,
BMP4-06,ABC,10LBS,Suite 403 Brookwood business office hall,761365,G16810001,,,,
,ABC,10LBS,Suite 401 lobby,761245,F88783200,,,,
,ABC,10LBS,Suite 401 by checkout,761246,WZ626743,,,,
,ABC,10LBS,Suite 401 by exam rm,761509,F8879341,,,,
,ABC,10LBS,Suite 401 end of hall by rm 10,761510,F88783198,,,,
,ABC,10LBS,Suite 401 infusion rm,761248,F-88793740,,,,
,ABC,10LBS,4th Hallway FDC cabinet,761371,G16810007,,,,
,ABC,10LBS,4th hallway by suite 404,761372,G16810000,,,,
,CO2,20LBS,4th electrical closet,761402,G11332344,,,,
,ABC,10LBS,Suite 501 MSA Storage Rear Door ,761421,F88830391,,,,
,ABC,10LBS,Suite 501 MSA Storage Staff area Front ,761420,F88842271,,,,
BMP5-04,ABC,10LBS,Suite 504 wound care by room 1,761105,F70240998,,,,
BMP5-05,ABC,10LBS,Suite 504 wound care by room 6,761363,G16807128,,,,
BMP5-06,ABC,10LBS,Suite 504 wound care hyperbaric chamber,761070,F70313780,,,,
BMP5-07,ABC,10LBS,Suite 505,761839,F36266982,,,,
,ABC,10LBS,Suite 507 Medical Staff Affairs ,761423,F88832749,,,,
,ABC,10LBS,5th End of crosswalk,761106,F70303696,,,,
,ABC,10LBS,5th Hallway FDC cabinet,761107,F70314319,,,,
,CO2,20LBS,5th Electrical closet,761405,G11335275,,,,
,ABC,10LBS,Suite 500 by restroom,761240,F88773159,,,,
,ABC,10LBS,Suite 500 by infusion,761241,F8870051,,,,
,ABC,10LBS,Suite 506 by processing room,761242,F88770823,,,,
,ABC,10LBS,Suite 506 by rear exit,761243,F8881948,,,,
,ABC,10LBS,Suite 502 by lobby door,761244,F88773160,,,,
,ABC,10LBS,BMP Crosswalk,761015,F72213256,,,,
,CO2,20LBS,Roof penthouse elevator,411739,AB391197,,,,
,CO2,20LBS,Roof penthouse elec side,761404,G11335249,,,,
,CO2,20LBS,Roof penthouse air handler,761403,G11335258,,,,
BMPDL-01,ABC,10LBS,BMP deck upper level next to lobby entrance,781847,I17695701,,,,
BMPP1-01,ABC,10LBS,BMP deck east side P1,761429,F88829008,,,,
BMPP1-02,ABC,10LBS,BMP deck west side P1,761432,F46777810,,,,
BMPP2-01,ABC,10LBS,BMP deck east side P2,761408,G16809996,,,,
BMPP2-02,ABC,10LBS,BMP deck west side P2,411689,F01497312,,,,
BMPP3-01,ABC,10LBS,BMP deck east side P3,281832,F01497358,,,,
BMPP3-02,ABC,10LBS,BMP deck west side P3,281766,I17714130,,,,
BMPP4-01,ABC,10LBS,BMP deck east side P4,761503,G09723202,,,,
BMPP4-02,ABC,5LBS,BMP deck west side P4,761004,AU483180,,,,
