Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected ,Initials
,ABC,10LBS,Ground by stair 24,761081,F70313481,,,,
,ABC,10LBS,Ground by EVS closet,761080,F70313478,,,,
,ABC,10LBS,Ground by elevator closet,761071,F70303695,,,,
,ABC,10LBS,Ground elevator machine room,761086,F70312273,,,,
,ABC,10LBS,Ground by stair 25,761083,F70314309,,,,
,ABC,10LBS,G5 By Admin Office ,411554,F-72245486,,,,
,ABC,10LBS,G5 by Kitchen ,761016,F-72245464,,,,
,ABC,10LBS,G5 by Directors office ,411983,F-72245514,,,,
POB1-01,ABC,10LBS,Suite 101 BIO Med wall office,281724,D57647584,,,,
POB1-02,ABC,10LBS,Suite 101 BIO Med Breakroom ,761005,E94122377,,,,
POB1-03,ABC,5LBS,Suite 114 Security next to console,411540,F72245498,,,,
POB1-04,ABC,10LBS,Suite 114 Security next to kitchen ,761218,F59540925,,,,
POB1-05,ABC,10LBS,Suite 114 Secuirty break room ,411495,AH197433,,,,
POB1-07,ABC,10LBS,Suite 104 hall by office,461626,F70313470,,,,
POB1-08,ABC,10LBS,Suite 111 Inmate holding back room,761601,F46777793,,,,
POB1-09,ABC,10LBS,Suite 120 Property manager copier ,281722,C91408194,,,,
POB1-10,ABC,10LBS,Suite 120 Property manager restroom,281721,D57603905,,,,
,ABC,10LBS,Suite 106 Rear by Back office ,761478,G16810003,,,,
,ABC,10LBS,1st by stair 24,761069,F70240344,,,,
,ABC,10LBS,1st by electrical closet,761089,F70314315,,,,
,ABC,10LBS,1st by stair 25,761078,F70313479,,,,
,ABC,10LBS,Suite 115 Back Hall  Psych Therapy Office,761359,G16812999,,,,
,ABC,10LBS,Suite 115 Front Hall ,281698,D58445272,,,,
,ABC,10LBS,Suite 112 Front Door ,761477,F88829991,,,,
,ABC,10LBS,Suite 112 by back door,761386,G16807137,,,,
POB2-04,ABC,5LBS,Suite 206 PAT by exam 1 ,761354,F99909374,,,,
POB2-05,ABC,10LBS,Suite 206 PAT by exam 7 ,411647,BL546116,,,,
POB2-06,ABC,10LBS,Suite 206 PAT by waiting room door,761622,F70313472,,,,
POB2-07,ABC,10LBS,Suite 206 PAT by supply ,761600,F46779134,,,,
POB2-01,ABC,10LBS,Suite 208 case mngr hallway ,761093,F95939403,,,,
POB2-02,ABC,10LBS,Suite 208 Psych case mngr breakroom,761095,F59538744,,,,
POB2-03,ABC,5LBS,Suite 215 BBH CV ,411887,C91409177,,,,
,ABC,10LBS,2nd by stair 25,761085,F70303136,,,,
,ABC,10LBS,2nd electrical closet,761087,F70314315,,,,
,ABC,10LBS,2nd by stair 24,761084,F70313474,,,,
,ABC,10LBS,Suite 205 Hallway,761011,E77735231,,,,
,ABC,10LBS,Suite 207 hallway,761199,F88789514,,,,
,ABC,10LBS,Suite 207 breakroom,761200,F88770818,,,,
,ABC,10LBS,Suite 209 hall by lab,761201,F88789516,,,,
,ABC,10LBS,Suite 214 hall by corner closet,761202,CB551700,,,,
,ABC,10LBS,Suite 214 corner nurse station,761203,CB551701,,,,
,ABC,5LBS,Suite 214 IS closet note on door,761204,AH197439,,,,
POB3-01,ABC,10LBS,Suite 308 Back hall education ,761361,G15034672,,,,
,ABC,10LBS,Suite 309 Vacant,761484,G16809998,,,,
POB3-02,ABC,10LBS,suite 312 Vacant,281720,C94509021,,,,
POB3-04,ABC,10LBS,Suite 314 Brookwood ENT ,281697,D57600965,,,,
,ABC,10LBS,Suite 315 Vacant,761482,G16810514,,,,
POB3-05,ABC,10LBS,Suite 301 Center Hall by Copy Center ,,F44671121,,,,
POB3-06,ABC,10LBS,Suite 301 North Hall ,411490,AC603743,,,,
POB3-07,ABC,10LBS,Suite 301 South Hall ,411491,AC603747,,,,
POB3-08,ABC,10LBS,Suite 301 Copy Center ,411504,C94510061,,,,
POB3-09,ABC,10LBS,Suite 304 BBH valve clinic hall ,411487,C945079352,,,,
POB3-10,ABC,10LBS,Suite 304 BBH Valve Clinic Breakroom  ,411488,C91410062,,,,
,ABC,10LBS,Suite 302 Vacant,761430,G16809095,,,,
,ABC,10LBS,Suite 305 Vacant,761483,G16810517,,,,
,ABC,10LBS,3rd  by stair 24,761090,F7030141,,,,
,ABC,10LBS,3rd electrical closet,761360,G16812989,,,,
,ABC,10LBS,3rd by suite 312,761079,F70303701,,,,
CA-01,ABC,10LBS,Lower level atrium to crosswalk,761013,E94119343,,,,
CA-02,ABC,10LBS,Lower level atrium  mechanical room,281711,D57648760,,,,
CAW-01,ABC,10LBS,Upper level atrium crosswalk,761632,F70303702,,,,
