Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
WG-01,ABC,10LBS,Ground fl tunnel near main hospital ,761650,F44671130,,,,
WG-02,ABC,10LBS,Ground fl tunnel near elevators 8/9/10 lobby,761776,I17695177,,,,
WG-03,ABC,5LBS,Ground fl tunnel across from elevators 8/9/10 ,761304,G13246832,,,,
WG-04,ABC,10LBS,Ground fl tunnel near elevators 6/7,761300,G16810016,,,,
W1-02,ABC,5LBS,Hall next to Womens classroom,761884,I15995076,,,,
W1-03,ABC,10LBS,South hall next to valet parking,761885,I15992747,,,,
W1-04,ABC,10LBS,1st floor in suite 101,761620,F-70314311,,,,
W1-05,ABC,5LBS,1st floor in Nursing Services,281828,H07164747,,,,
W1-06,ABC,5LBS,1st floor Womens Surgery exit by holding rm 5,281811,H07164702,,,,
W1-07,ABC,5LBS,1st floor Womens Surgery breakroom by holding rm 12,281816,H07164725,,,,
W1-08,ABC,10LBS,Womens Surgery autoclave at OR 3/4,281763,I17717020,,,,
W1-09,ABC,10LBS,Womens Surgery autoclave at OR 1/2,281762,I17713729,,,,
W1-10,ABC,10LBS,Womens Surgery autoclave at OR 5/7,281761,I17695180,,,,
W1-11,ABC,10LBS,Womens Surgery hall by OR 7,411879,BR591267,,,,
W1-12,ABC,5LBS,Communiction operator room,761777,I15998323,,,,
,ABC,10LBS,1st floor storage by Communications (Old locksmith shop),761784,I17713738,,,,
W1-14,ABC,5LBS,1st floor hall by Nursing Services,761783,I16006918,,,,
W1-15,ABC,5LBS,1st floor Womens Surgery by holding rm 11/12,281819,H07164698,,,,
W1-17,ABC,10LBS,Womens Surgery hall by old LDR 2,761778,I17717029,,,,
W1-18,ABC,5LBS,Womens Surgery hall by old LDR 10,281834,H07164684,,,,
W1-19,ABC,5LBS,Womens Surgery hall by old LDR 4,281827,H07164675,,,,
W1-21,ABC,5LBS,Old NICU Nursing Station,281809,H07164691,,,,
W1-22,ABC,5LBS,Old NICU center right column,761599,BE842787,,,,
W1-23,ABC,5LBS,1st floor hall to Womens Surgery suite ,281815,H07166615,,,,
,ABC,10LBS,1st floor SDS bronch suite,761412,F88832745,,,,
W1-24,ABC,5LBS,South hall next to gallery wall,761785,I06596558,,,,
W1-27,BC,5LBS,1st floor WOR 4,761166,F69491692,,,,
W1-28,BC,5LBS,1st floor WOR 3,761164,F69491714,,,,
W1-30,BC,5LBS,1st floor WOR 7,761652,H28955474,,,,
W1-31,BC,5LBS,1st floor WOR 6,761179,F69491708,,,,
W1-32,BC,5LBS,1st floor WOR 5,761162,F69491694,,,,
W1-33,BC,5LBS,1st floor WOR 1,761163,F69491707,,,,
W1-32,BC,5LBS,1st floor WOR 2,761165,F69491711,,,,
W1-35,BC,5LBS,1st floor Robot WOR 9,761160,F69491710,,,,
W1-36,BC,5LBS,1st floor Robot WOR 8,761159,F69491709,,,,
W1-37,BC,5LBS,1st floor Robot WOR 10,281813,I17717031,,,,
,ABC,5LBS,1st floor by WOR 10,761180,F69491713,,,,
W1-38,BC,5LBS,Inside womens Dr's Lounge,761779,I06594093,,,,
W1-39,ABC,5LBS,1st floor Womens Surgery in PACU,761651,F01497357,,,,
WC2-01,ABC,5LBS,2nd floor hall by stair 22/OB HG rm,761589,F51149679,,,,
WC2-02,ABC,5LBS,2nd floor inner hall by ET office,281810,F72245570,,,,
WC2-03,ABC,5LBS,2nd floor hall by room 2025,761646,G31902920,,,,
WC2-04,ABC,5LBS,2nd floor hall by room 2015,761645,G31902939,,,,
WC2-05,ABC,10LBS,2nd floor hall by dayroom,411670,F72245482,,,,
WC2-06,ABC,5LBS,2nd floor hall by room 2003,761781,I17695190,,,,
WC2-07,ABC,10LBS,2nd floor hall by room 266,761780,I16006919,,,,
MHW3-01,ABC,5LBS,3rd floor Specialty Select hall by stair 22,281825,F72245471,,,,
MHW3-03,ABC,5LBS,3rd floor Specialty Select hall by rm 3323,281807,F72245446,,,,
MHW3-04,ABC,5LBS,3rd floor Specialty Select hall by rm 3314,281795,F72245551,,,,
MHW3-05,ABC,10LBS,3rd floor Specialty Select hall by OT/PT gym,761588,F46778767,,,,
MHW-06,ABC,5LBS,3rd floor Specialty Select hall by rm 3328,281803,F72245533,,,,
MHW-07,ABC,5LBS,3rd floor Specialty Select hall by rm 3309,761782,I15987907,,,,
WT3-01,ABC,5LBS,3rd floor hall by staff only office/doors to lobby,761789,I16007465,,,,
WT3-02,ABC,5LBS,3rd floor hall by room 3017,281821,F72245466,,,,
WT3-03,ABC,5LBS,3rd floor L&D OR 2,761791,I15998324,,,,
WT3-04,ABC,5LBS,3rd floor L&D OR 1,761792,I15991568,,,,
WT3-01,ABC,5LBS,3rd floor L&D OR 3,761793,I16007467,,,,
WT3-05,ABC,5LBS,3rd floor L&D OR 4,761794,I16006916,,,,
WT3-06,ABC,5LBS,3rd floor hall by room 3007,761790,I15991571,,,,
WT3-07,ABC,5LBS,3rd floor hall by room 3001,761305,G13246830,,,,
WT4-01,ABC,5LBS,4th floor hall by staff only office/doors to lobby ,761795,I15995284,,,,
WT4-02,ABC,5LBS,4th floor hall by suite 1,761787,I16006915,,,,
WT4-03,ABC,5LBS,4th floor NS by room 4018 A/B,411591,AH197571,,,,
,ABC,5LBS,4th floor mech rm by rm 478 upper platform,761788,I15987905,,,,
E4-05,ABC,5LBS,4th floor roof (through mech rm by rm 478),281837,F72245489,,,,
E4-06,ABC,10LBS,4th floor mech rm by rm 478,761713,I17713240,,,,
