Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected ,Initials
VDY5-01,ABC,10LBS,VPD L5 Yellow,761002,F46781494,,,,
VDY6-01,ABC,10LBS,VPD L6 Yellow,761496,F44671099,,,,
VDY7-01,ABC,10LBS,VPD L7 Yellow,761633,F70303700,,,,
VDYP-01,ABC,10LBS,VPD yellow elevator penthouse,,F44671123,,,,
VDO1-01,ABC,10LBS,VPD L1 Orange,411733,BE842789,,,,
VDO2-01,ABC,10LBS,VPD L2 Orange,281765,F44671139,,,,
VDO3-01,ABC,10LBS,VPD L3 Orange,761499,G16809102,,,,
VDO4-01,ABC,10LBS,VPD L4 Orange,411622,AC602174,,,,
VDO6-01,ABC,5LBS,VPD L6 Orange,761003,F46781493,,,,
VDO5-01,ABC,5LBS,VPD L5 Orange,761008,E77736392,,,,
VDO7-01,ABC,10LBS,VPD L7 Orange,761492,G16812985,,,,
VDOP-01,ABC,10LBS,VPD orange elevator penthouse,761549,F44671098,,,,
VDB1-01,ABC,10LBS,VPD L1 Blue,411993,F44671135,,,,
VDB2-01,ABC,10LBS,VPD L2 Blue,761643,G13245269,,,,
VDB3-01,ABC,10LBS,VPD L3 Blue,411994,F44671114,,,,
VDB4-01,ABC,10LBS,VPD L4 Blue,441991,F44671113,,,,
VDB5-01,ABC,10LBS,VPD L5 Blue,411995,F44671134,,,,
VDB6-01,ABC,10LBS,VPD L6 Blue,411990,G16812988,,,,
VDB7-01,ABC,10LBS,VPD L7 Blue,411996,F44621088,,,,
VDBP-01,ABC,10LBS,VPD Blue elevator penthouse,411997,F44671111,,,,
VDW-01,ABC,10LBS,VPD fuel storage tank by gate,,F44671140,,,,
VDW-01,BC,5LBS,VPD power station inside 1st level,761607,H33684642,,,,
VDW-01,BC,5LBS,VPD power station inside 1st level read door right,761606,H33685701,,,,
VDW-01,ABC,10LBS,VPD power station 1st level outisde rear door,761038,F70303139,,,,
VDW-01,ABC,10LBS,VPD fire exit by elevator lobby,761039,F70303134,,,,
VDW-02,ABC,25LBS,VPD fuel storage tank inside fence,761116,F70312775,,,,
VDW-03,ABC,10LBS,VPD warehouse north fire exit maint. Area,411631,AC600728,,,,
VDW-04,ABC,10LBS,VPD warehouse maint. Area by door,761040,F70314312,,,,
VDW-06,Purk,20LBS,VPD warehouse generator room right,761604,F58421748,,,,
VDW-07,Purk,20LBS,VPD warehouse generator room left,761603,F58421754,,,,
VDW-08,BC,5LBS,VPD warehouse generator room side door,761605,F59099677,,,,
VDW-09,BC,10LBS,VPD warehouse by bathroom,761608,F52774899,,,,
VDW-10,ABC,5LBS,VPD warehouse by main entrance ,761319,F99915781,,,,
VDW-11,ABC,5LBS,VPD Warehouse by Loading Dock ,761302,G-16807132,,,,
